Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"SQUID Sensor Array","Multi-Channel Low-Tc SQUID","Superconducting Quantum Interference Device array for detecting ultra-weak magnetic fields. Requires cryogenic cooling.","electrical","sensor",1,250000.00,250000.00,"https://www.google.com/search?q=multi-channel+SQUID+system"
"Cryocooler","Closed-Cycle Gifford-McMahon Cryocooler","Provides the necessary cryogenic temperatures for SQUID sensor operation without liquid helium.","electrical","actuator",1,75000.00,75000.00,"https://www.sumitomocryo.com/products/cryocoolers/"
"Low-Noise Pre-Amplifier Array","Analog Devices ADA4807 Quad Pre-Amp Module","Amplifies extremely weak SQUID signals with minimal added noise before further processing.","electrical","module",1,800.00,800.00,"https://www.digikey.com/en/products/detail/analog-devices-inc/ADA4807-4ACPZ-R7/6144805"
"RF Filter Array","Custom EMI Filter Board","Passively filters out high-frequency electromagnetic interference before signal amplification.","electrical","module",1,300.00,300.00,"https://www.digikey.com/en/products/result?keywords=EMI+filter+board"
"Multi-Channel Lock-in Amplifier","Zurich Instruments MFLI Lock-in Amplifier","Extracts small signals from noisy backgrounds using phase-sensitive detection. High-speed multi-channel operation.","electrical","module",1,35000.00,35000.00,"https://www.zhinst.com/us/products/mfli-lock-in-amplifier"
"High-Resolution ADC Module","Analog Devices AD7768-1 Evaluation Board","Converts analog signals from the lock-in amplifier into high-resolution digital data.","electrical","module",1,500.00,500.00,"https://www.digikey.com/en/products/detail/analog-devices-inc/EVAL-AD7768-1/7222880"
"FPGA/DSP Processor","Xilinx Zynq-7000 SoC Module","Performs real-time signal conditioning, initial noise reduction, and high-speed data buffering before AI processing.","electrical","mcu",1,1200.00,1200.00,"https://www.digikey.com/en/products/result?keywords=Xilinx+Zynq+module"
"AI Embedded System","NVIDIA Jetson Xavier NX","Powerful embedded platform for running AI inference models to filter EMI and localize magnetic fields.","electrical","mcu",1,600.00,600.00,"https://www.amazon.com/NVIDIA-Jetson-Xavier-Developer-Kit/dp/B08553Q195"
"Wireless Communication Module","Intel AX210 WiFi 6E Module","Provides high-bandwidth, low-latency wireless data transmission to a control station.","electrical","module",1,30.00,30.00,"https://www.amazon.com/Intel-Wireless-AX210-Gig-Wifi/dp/B08RMYL6Q6"
"SQUID Cryogenic Power Supply","Keithley 2400 Series SourceMeter","Provides ultra-stable, low-noise current and voltage to the SQUID sensors.","electrical","power",1,7000.00,7000.00,"https://www.tek.com/sourcemeter/2400-series-sourcemeter"
